"","Geneid","Ctrl1","Ctrl2","Ctrl3","Ctrl4","SBMA_1","SBMA_2","SBMA_3","SBMA_4","SBMA_5","SBMA_6","SBMA_7","SBMA_8","SBMA_9","ensgene","symbol"
"3152","ENSG00000115361.8",365.323612772128,412.24108415022,404.794917157427,424.111175707664,320.287247832778,204.614105396582,339.777617227281,123.444525663258,517.323973438935,243.862607186335,281.531111965702,351.116523003336,302.053082926236,"ENSG00000115361","ACADL"
"3153","ENSG00000115364.14",1719.55837875667,1156.41948480675,1363.04857048694,1646.51738107122,1056.38103431557,1120.80849285173,1150.83964954738,1201.63708832157,1576.4300978851,1804.64227568616,1163.21427575219,1218.23913014381,819.927911210164,"ENSG00000115364","MRPL19"
"3154","ENSG00000115365.13",1928.30236894685,1733.29136840421,1588.7002009475,1954.02704147138,1840.45730879894,2038.64381130141,1633.37719064627,1649.67129139253,2049.516060484,2094.06453954545,2070.23258648315,1865.59565198839,2230.5483657956,"ENSG00000115365","LANCL1"
"3155","ENSG00000115368.10",521.379551634977,492.562757558256,579.764408688066,514.839289552584,633.861726956724,682.307251006012,503.201190178225,451.296572243759,554.531811415966,712.085523096671,605.974228337038,607.636327895728,583.874203208073,"ENSG00000115368","WDR75"
"3156","ENSG00000115380.20",764.921347465871,425.845735376982,880.178238399199,707.550728776828,1322.1475086257,3512.73017590085,2989.85341084452,993.908465046441,1578.46951750923,487.861612173024,1354.66632602817,1850.95942622943,2230.66311393954,"ENSG00000115380","EFEMP1"
"3157","ENSG00000115392.13",294.738144460753,373.820340946803,259.049954050896,274.718421217368,352.944332047829,420.323545967635,347.499228828979,406.351843382441,286.813762761552,404.400437024936,268.315336528539,322.317345955484,345.817111591099,"ENSG00000115392","FANCL"
"3158","ENSG00000115414.21",4619.22711018584,4305.15644145112,4905.81721457093,6314.06592869728,8967.82911246679,17836.3467920186,12084.1323853678,4929.6406612222,5786.8343390498,6980.98976092266,8018.13781414376,7781.78728382207,8281.06079551004,"ENSG00000115414","FN1"
"3159","ENSG00000115415.21",1774.58758968076,1801.05708932593,1521.12166719517,1806.99702449394,1743.8541640281,1912.84155561483,2118.51376534359,2027.47040276366,2379.37844377096,1916.82992118468,1704.56906734681,1800.64677501905,2254.24503640317,"ENSG00000115415","STAT1"
"3160","ENSG00000115419.13",1295.15290954065,1129.11616155709,978.327748948133,1090.59229722247,1235.21729503914,1574.54828931047,1132.89963727289,742.224839840558,1077.02317852,1193.19964298517,1115.63912644172,964.930816358876,1178.4206448386,"ENSG00000115419","GLS"
"3161","ENSG00000115421.13",373.452338921548,380.460436164683,387.153997280097,407.960859141565,332.672805572731,342.744841426581,264.636975135252,333.722404792017,389.205648410383,399.795011777488,326.437812350991,425.021698059585,398.71197532256,"ENSG00000115421","PAPOLG"
"3162","ENSG00000115446.12",416.552873994319,394.853008273351,430.653299931978,498.84406752915,381.43084035099,380.036431832114,388.78832914328,395.714292899911,436.681061266724,407.495584982649,420.528501436706,462.165366034354,371.125528649112,"ENSG00000115446","UNC50"
"3163","ENSG00000115457.10",208.111270585861,170.111105036946,276.877419962285,358.093593288491,316.174285567716,213.103276289932,445.444591236508,318.417906846619,270.584359666622,209.870970618038,342.497021674857,523.189306989032,245.28397899092,"ENSG00000115457","IGFBP2"
"3164","ENSG00000115459.18",541.706117141866,458.390274493017,829.038085623042,541.099656566654,310.808155488516,347.067616723895,463.95172679822,529.685402410744,374.52191443384,470.58612879563,390.469546819856,597.603896673552,335.93607055912,"ENSG00000115459","ELMOD3"
"3165","ENSG00000115461.5",30943.9448454139,33679.7785907551,29090.1616963891,22312.12971657,28722.7516784388,22677.827322901,37251.6027328564,20440.14649533,36400.5566257419,19832.421363975,25657.2701866061,21717.8108986238,31094.0888528402,"ENSG00000115461","IGFBP5"
"3166","ENSG00000115464.15",2621.6388234075,2786.08647253437,2593.17911059307,2325.56304555748,2924.57779797031,2242.80117372331,2421.64233616025,1602.25343060751,2246.82742431319,2574.93403950269,2158.17312905707,2374.65099193727,2412.80312884324,"ENSG00000115464","USP34"
"3167","ENSG00000115468.13",778.013526100421,457.394218529898,826.664770873945,815.917077957138,683.650773585841,477.850302776991,837.753481397911,724.820516020415,730.042253706764,752.052172316582,1032.80623491494,811.072063393356,701.875512167412,"ENSG00000115468","EFHD1"
"3168","ENSG00000115484.15",2838.15149142192,2503.12927055712,2495.59379583545,2663.21679421316,2389.70122903131,3596.06864418619,2171.18539901456,2619.94026644438,2665.87521048492,2411.83099627058,2424.53268245589,2392.06997157596,2332.98675380448,"ENSG00000115484","CCT4"
"3169","ENSG00000115486.13",541.199385898945,683.018413544263,556.180305489429,651.881306709262,665.54122035941,643.324827929646,515.624302063292,578.870266544098,590.926824007494,733.666808187894,589.435548238017,620.752183554048,562.053191750153,"ENSG00000115486","GGCX"
"3170","ENSG00000115504.15",489.521644654601,449.313150569423,667.470358794478,621.244482541862,573.688015149883,720.17288807027,869.393077033738,422.868456385207,648.181718394217,568.926594843525,567.272120594379,497.242105638064,658.428848480368,"ENSG00000115504","EHBP1"
"3171","ENSG00000115514.12",419.604941007283,420.613209564278,352.830216733064,378.772776346766,390.511161516422,462.513115860792,415.941587973786,390.518405172492,391.740081958453,388.328223831783,332.653962608248,426.570624255056,373.941687906223,"ENSG00000115514","TXNDC9"
